Order	Suborder	Family	Cross	Distance
Lepidoptera	"Moth"	Geometridae	Lycia_isabellae_X_Average	0.0534494090049646
Lepidoptera	"Moth"	Geometridae	Lycia_lapponaria_X_Average	0.0289677653463338
Lepidoptera	"Moth"	Geometridae	Lycia_zonaria_X_Lycia_pomonaria	0.0426179604261796
Lepidoptera	"Moth"	Geometridae	Operophtera_brumata_X_Operophtera_bruceata	0.0756578947368421
Lepidoptera	"Moth"	Geometridae	Selenia_tetralunaria_X_Selenia_bilunaria	0.0911854103343465
Lepidoptera	"Moth"	Geometridae	Thera_variata_X_Thera_obeliscata	0.0287610619469027
Lepidoptera	"Moth"	Geometridae	Timandra_griseata_X_Timandra_comae	0.0144478844169247
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma_neustria_X_Average	0.0463525835866261
Lepidoptera	"Moth"	Lasiocampidae	Phyllodesma_tremulifolia_X_Phyllodesma_ilicifolia	0
Lepidoptera	"Moth"	Noctuidae	Agrotis_segetum_X_Agrotis_ipsilon	0.0459016393442623
Lepidoptera	"Moth"	Noctuidae	Chloridea_virescens_X_Chloridea_subflexa	0.0538243626062323
Lepidoptera	"Moth"	Noctuidae	Euxoa_rockburnei_X_Euxoa_declarata	0.0151975683890578
Lepidoptera	"Moth"	Noctuidae	Helicoverpa_armigera_X_Average	0.0433916616219272
Lepidoptera	"Moth"	Noctuidae	Hydraecia_micacea_X_Hydraecia_immanis	0.0592705167173252
Lepidoptera	"Moth"	Noctuidae	Spodoptera_latifascia_X_Spodoptera_descoinsi	0.035035035035035
Lepidoptera	"Moth"	Noctuidae	Spodoptera_litura_X_Spodoptera_littoralis	0.0335241210139002
Lepidoptera	"Moth"	Notodontidae	Cerura_vinula_X_Cerura_erminea	0.074468085106383
Lepidoptera	"Moth"	Notodontidae	Clostera_anachoreta_X_Average	0.0653495440729483
Lepidoptera	"Moth"	Notodontidae	Clostera_pigra_X_Average	0.0653495440729483
Lepidoptera	"Moth"	Notodontidae	Thaumetopoea_wilkinsoni_X_Thaumetopoea_pityocampa	0.0824742268041237
Lepidoptera	"Moth"	Saturniidae	Antheraea_pernyi_X_Average	0.0404173475570571
Lepidoptera	"Moth"	Saturniidae	Callosamia_angulifera_X_Average	0.0552178318135765
Lepidoptera	"Moth"	Saturniidae	Callosamia_securifera_X_Callosamia_promethea	0.0486322188449848
Lepidoptera	"Moth"	Saturniidae	Citheronia_splendens_X_Citheronia_regalis	0.060790273556231
Lepidoptera	"Moth"	Saturniidae	Hyalophora_cecropia_X_Average	0.0126584905747402
Lepidoptera	"Moth"	Saturniidae	Hyalophora_euryalus_X_Hyalophora_columbia	0.0166919575113809
Lepidoptera	"Moth"	Saturniidae	Hyalophora_gloveri_X_Hyalophora_euryalus	0.0167173252279635
Lepidoptera	"Moth"	Saturniidae	Saturnia_pyri_X_Saturnia_pavonia	0.0714285714285714
Lepidoptera	"Moth"	Saturniidae	Saturnia_walterorum_X_Saturnia_mendocino	0
Lepidoptera	"Moth"	Sphingidae	Deilephila_elpenor_X_Average	0.0661243740955678
Lepidoptera	"Moth"	Sphingidae	Deilephila_porcellus_X_Average	0.0709916498329551
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Average	0.0299315518973478
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Average	0.0315066609906137
Lepidoptera	"Moth"	Sphingidae	Hyles_hippophaes_X_Average	0.0340545021320276
Lepidoptera	"Moth"	Sphingidae	Smerinthus_ocellata_X_Average	0.0970562518216263
Lepidoptera	"Moth"	Tortricidae	Choristoneura_biennis_X_Average	0.0202781199739931
Lepidoptera	"Moth"	Tortricidae	Choristoneura_fumiferana_X_Average	0.0232139375083046
Lepidoptera	"Moth"	Tortricidae	Choristoneura_occidentalis_X_Average	0.009528463493927
Lepidoptera	"Moth"	Tortricidae	Choristoneura_retiniana_X_Choristoneura_pinus	0.0158311345646438
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta_cagnagella_X_Average	0.00716614208633093
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta_padella_X_Yponomeuta_malinellus	0.010022271714922
Lepidoptera	"Moth"	Zygaenidae	Adscita_italica_X_Adscita_alpina	0.00303951367781155
Odonata	Zygoptera	Coenagrionidae	Coenagrion_puella_X_Average	0.146163980049
Odonata	Zygoptera	Coenagrionidae	Enallagma_carunculatum_X_Average	0.198470991953479
Odonata	Zygoptera	Coenagrionidae	Enallagma_cyathigerum_X_Average	0.13382679320076
Odonata	Zygoptera	Coenagrionidae	Ischnura_cervula_X_Enallagma_hageni	0.122291021671827
Odonata	Zygoptera	Coenagrionidae	Ischnura_demorsa_X_Ischnura_damula	0.00415800415800416
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Average	0.155010220099573
Odonata	Zygoptera	Coenagrionidae	Ischnura_gemina_X_Ischnura_denticollis	0.0388768898488121
Odonata	Zygoptera	Coenagrionidae	Ischnura_graellsii_X_Average	0.0372903152552748
Odonata	Zygoptera	Coenagrionidae	Ischnura_perparva_X_Enallagma_anna	0.143790849673203
Odonata	Zygoptera	Coenagrionidae	Ischnura_pumilio_X_Average	0.173177083333333
Odonata	Zygoptera	Coenagrionidae	Ischnura_ramburii_X_Ischnura_barberi	0.122916666666667
Odonata	Zygoptera	Coenagrionidae	Lestes_disjunctus_X_Ischnura_erratica	0.188925081433225
Orthoptera	Caelifera	Acrididae	Chorthippus_albomarginatus_X_Average	0.0121739130434783
Orthoptera	Caelifera	Acrididae	Chorthippus_biguttulus_X_Average	0.00227963525835866
Orthoptera	Caelifera	Acrididae	Chorthippus_jacobsi_X_Chorthippus_brunneus	0.00871080139372822
Orthoptera	Caelifera	Acrididae	Chorthippus_oschei_X_Chorthippus_karelini	0.00695652173913044
Orthoptera	Caelifera	Acrididae	Chorthippus_parallelus_X_Chorthippus_montanus	0.0440729483282675
Orthoptera	Caelifera	Acrididae	Trimerotropis_maritima_X_Trimerotropis_agrestis	0.00303951367781155
Orthoptera	Ensifera	Gryllidae	Gryllus_campestris_X_Gryllus_bimaculatus	0.033434650455927
Orthoptera	Ensifera	Gryllidae	Gryllus_pennsylvanicus_X_Gryllus_firmus	0.0106544901065449
Orthoptera	Ensifera	Gryllidae	Teleogryllus_oceanicus_X_Teleogryllus_commodus	0.0563380281690141
Orthoptera	Ensifera	Prophalangopsidae	Cyphoderris_monstrosa_X_Cyphoderris_buckelli	0.0721804511278196
Orthoptera	Ensifera	Tettigoniidae	Hexacentrus_unicolor_X_Hexacentrus_japonicus	0.108213820078227
Orthoptera	Ensifera	Tettigoniidae	Saga_hellenica_X_Saga_campbelli	0.110260336906585
Orthoptera	Ensifera	Tettigoniidae	Saga_rammei_X_Saga_pedo	0.13030303030303
