Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Papilio constantinus	Papilio dardanus	Laboratory	Yes	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.	1991	PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)
Papilio dardanus	Papilio phorcas	Laboratory	Yes	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.	1991	PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)
Hyalophora euryalus	Hyalophora kasloensis	Laboratory	Yes	Collins, MM.	1997	Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Hyalophora columbia	Hyalophora euryalus	Field	Yes	Collins, MM.	1997	Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Hyalophora columbia	Hyalophora kasloensis	Laboratory	Yes	Collins, MM.	1997	Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Aricia agestis	Aricia artaxerxes	Field	Yes	Aagaard, K; Hindar, K; Pullin, AS; James, CH; Hammarstedt, O; Balstad, T; Hanssen, O.	2002	Phylogenetic relationships in brown argus butterflies (Lepidoptera : Lycaenidae : Aricia) from north-western Europe
Yponomeuta cagnagellus	Yponomeuta padellus	Laboratory	Yes	Hora, KH; Roessingh, P; Menken, SBJ.	2005	Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Yponomeuta cagnagellus	Yponomeuta malinellus	Laboratory	Yes	Hora, KH; Roessingh, P; Menken, SBJ.	2005	Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Heliconius cydno	Heliconius pachinus	Field	Yes	Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE.	2006	Multilocus analyses of admixture and introgression among hybridizing Heliconius butterflies
Heliconius melpomene	Heliconius pachinus	Field	Yes	Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE.	2006	Multilocus analyses of admixture and introgression among hybridizing Heliconius butterflies
Pieris macdunnoughii	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Pieris napi	Pieris virginiensis	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Pieris marginalis	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Pieris microstriata	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Pieris napi	Pieris oleracea	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Pieris marginalis	Pieris oleracea	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Polyommatus agestis	Polyommatus artaxerxes	Field	Yes	Mallet, J; Wynne, IR; Thomas, CD.	2011	Hybridisation and climate change: brown argus butterflies in Britain (Polyommatus subgenus Aricia)
