Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Anopheles gambiae	Anopheles coluzzii	Field	No	Oduwole, OA; Oringanje, CM; Oduola, AO; Nwachuku, NS; Meremikwu, MM; Alaribe, AAA.	2020	Species Composition of Anopheles (Diptera: Culicidae) in Selected Forested Tourist Areas of Nigeria Endemic for Malaria
Anopheles minimus	Anopheles aconitus	Laboratory	Yes	SUCHARIT, S; CHOOCHOTE, W.	1982	HYBRIDIZATION OF ANOPHELES-MINIMUS AND ANOPHELES-ACONITUS (DIPTERA, CULICIDAE) IN THAILAND
Drosophila koepferae	Drosophila antonietae	Laboratory	Yes	Colines, B; Soto, IM; de Panis, DN; Padro, J.	2018	Experimental hybridization in allopatric species of the Drosophila repleta group (Diptera: Drosophilidae): implications for the mode of speciation
Ochlerotatus triseriatus	Ochlerotatus hendersoni	Laboratory	Yes	Anderson, JR; Schneider, JR; Grimstad, PR; Severson, DW.	2006	Identification of quantitative trait loci for larval morphological traits in interspecific hybrids of Ochlerotatus triseriatus and Ochlerotatus hendersoni (Diptera : Culicidae)
Simulium sanctipauli	Simulium squamosum	Field	Yes	POST, RJ.	1984	NATURAL INTERSPECIFIC HYBRIDIZATION OF SIMULIUM-SANCTIPAULI SL WITH SIMULIUM-SQUAMOSUM AND SIMULIUM-YAHENSE (DIPTERA, SIMULIIDAE)
Simulium sanctipauli	Simulium yahense	Field	Yes	POST, RJ.	1984	NATURAL INTERSPECIFIC HYBRIDIZATION OF SIMULIUM-SANCTIPAULI SL WITH SIMULIUM-SQUAMOSUM AND SIMULIUM-YAHENSE (DIPTERA, SIMULIIDAE)
Drosophila silvestris	Drosophila heteroneura	Laboratory	Yes	PRICE, DK; BOAKE, CRB.	1995	BEHAVIORAL REPRODUCTIVE ISOLATION IN DROSOPHILA-SILVESTRIS, D-HETERONEURA, AND THEIR F1 HYBRIDS (DIPTERA, DROSOPHILIDAE)
Rhagoletis zoqui	Rhagoletis ramosae	Laboratory	Yes	Tadeo, E; Aluja, M; Rull, J.	2018	Precopulatory mating and postzygotic isolation between two walnut-infesting species of Rhagoletis from Mexican highlands
Drosophila melanogaster	Drosophila simulans	Laboratory	Yes	MORETEAU, B; PETAVY, G; GIBERT, P; MORIN, JP; MUNOZ, A; DAVID, JR.	1995	NEW DISCRIMINATING TRAITS BETWEEN FEMALES OF 2 SIBLING SPECIES - DROSOPHILA-MELANOGASTER AND DROSOPHILA-SIMULANS (DIPTERA, DROSOPHILIDAE)
Simulium arcticum	Simulium saxosum	Field	Yes	Conflitti, IM; Shields, GF; Murphy, RW; Currie, DC.	NA	Genetic panmixia within a narrow contact zone between chromosomally and ecologically distinct black fly sibling species (Diptera: Simuliidae)
Anastrepha fraterculus sp 1	Anastrepha fraterculus sp 2	Laboratory	Yes	Selivon, D; Perondini, ALP.	1997	Extrusion of yolk masses by hybrid embryos of two cryptic species of Anastrepha fraterculus (Diptera, Tephritidae)
