Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Odonata	Gomphus crassus	Ophiogomphus rupinsulensis	N	N	N	NA	NA	NA
Odonata	Gomphus fraternus	Gomphus externus	Y	Y	Y	NA	NA	NA
Odonata	Gomphus simillimus	Gomphus vulgatissimus	Y	N	N	NA	NA	NA
Odonata	Hetaerina americana	Argia plana	N	N	N	NA	NA	NA
Odonata	Hetaerina americana	Calopteryx maculata	Y	N	N	NA	NA	NA
Odonata	Indolestes peregrinus	Cercion hieroglyhicum	N	N	N	NA	NA	NA
Odonata	Ischnura aurora	Xanthocnemis zealandica	N	N	N	NA	NA	NA
Odonata	Ischnura barberi	Ischnura ramburii	Y	N	N	NA	NA	NA
Odonata	Ischnura capreolus	Ischnura cyane	N	N	N	NA	NA	NA
Odonata	Ischnura demorsa	Ischnura damula	Y	Y	Y	NA	NA	NA
Odonata	Ischnura denticollis	Ischnura gemina	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Calopteryx splendens	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Coenagrion puella	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Coenagrion pulchellum	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Enallagma cyathigerum	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Erythromma lindenii	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Erythromma najas	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Ischnura fountaineae	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Ischnura graellsii	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Lestes sponsa	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Pyrrhosoma nymphula	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Sympecma fusca	Y	N	N	NA	NA	NA
Odonata	Ischnura erratica	Lestes disjunctus	N	N	N	NA	NA	NA
Odonata	Ischnura genei	Ischnura elegans	Y	Y	Y	NA	NA	NA
Odonata	Ischnura genei	Ischnura graellsii	Y	Y	Y	NA	NA	NA
Odonata	Ischnura genei	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura graellsii	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura perparva	Enallagma anna	N	N	N	NA	NA	NA
