Order	Sp1	Sp2	RI	Gen	Barrier
Odonata	Hetaerina americana	Argia plana	1	0.203980099502488	Assortative Mating + 
Mechanical Isolation
Odonata	Hetaerina americana	Calopteryx maculata	0.8	0.203647416413374	Oviposition
Odonata	Ischnura aurora	Xanthocnemis zealandica	1	0.146645865834633	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura barberi	Ischnura ramburii	0.8	0.122916666666667	Oviposition
Odonata	Ischnura demorsa	Ischnura damula	0	0.00415800415800416	Fertile F1 Hybrids
Odonata	Ischnura denticollis	Ischnura gemina	0	0.0388768898488121	Fertile F1 Hybrids
Odonata	Ischnura elegans	Calopteryx splendens	0.8	0.186031331592689	Oviposition
Odonata	Ischnura elegans	Chalcolestes viridis	1	0.186562296151337	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura elegans	Coenagrion puella	0.8	0.143696930111039	Oviposition
Odonata	Ischnura elegans	Coenagrion pulchellum	1	0.146710526315789	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura elegans	Enallagma cyathigerum	0.8	0.129980404964076	Oviposition
Odonata	Ischnura elegans	Erythromma lindenii	1	0.167864141084259	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura elegans	Erythromma najas	1	0.164228723404255	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura elegans	Ischnura fountaineae	0	0.0145530145530146	Fertile F1 Hybrids
Odonata	Ischnura elegans	Ischnura graellsii	0	0.00156985871271586	Fertile F1 Hybrids
Odonata	Ischnura elegans	Ischnura saharensis	0	0	Fertile F1 Hybrids
Odonata	Ischnura elegans	Lestes sponsa	1	0.182178217821782	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura elegans	Pyrrhosoma nymphula	0.8	0.153294194390085	Oviposition
Odonata	Ischnura elegans	Sympecma fusca	0.8	0.196999347684279	Oviposition
Odonata	Ischnura erratica	Lestes disjunctus	1	0.188925081433225	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura genei	Ischnura elegans	0	0.00592592592592593	Fertile F1 Hybrids
Odonata	Ischnura genei	Ischnura graellsii	0	0.00786163522012579	Fertile F1 Hybrids
Odonata	Ischnura genei	Ischnura saharensis	0	0.00741839762611276	Fertile F1 Hybrids
Odonata	Ischnura graellsii	Ischnura saharensis	0	0	Fertile F1 Hybrids
Odonata	Ischnura perparva	Enallagma anna	1	0.156862745098039	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura pumilio	Coenagrion puella	0.8	0.148631029986962	Oviposition
Odonata	Ischnura pumilio	Enallagma cyathigerum	0.8	0.139281129653402	Oviposition
Odonata	Ischnura pumilio	Ischnura elegans	1	0.12133072407045	Assortative Mating + 
Mechanical Isolation
Odonata	Ischnura pumilio	Ischnura graellsii	0.8	0.133437990580848	Oviposition
Odonata	Lestes barbarus	Chalcolestes viridis	0.6	0.172757475083056	Hybrid Inviability
Odonata	Lestes barbarus	Lestes dryas	1	0.131578947368421	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes barbarus	Lestes sponsa	1	0.11185086551265	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes disjunctus	Chalcolestes viridis	1	0.145896656534954	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes disjunctus	Enallagma cyathigerum	1	0.167173252279635	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes dryas	Lestes sponsa	0.8	0.0482456140350877	Oviposition
Odonata	Lestes inaequalis	Lestes disjunctus	1	0.0228310502283105	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes rectangularis	Lestes congener	1	0.120060790273556	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes rectangularis	Lestes unguiculatus	1	0.0258358662613982	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Ceriagrion tenellum	1	0.14741641337386	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Chalcolestes viridis	0.6	0.157755775577558	Hybrid Inviability
Odonata	Lestes sponsa	Enallagma cyathigerum	1	0.174917491749175	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Erythromma najas	1	0.184840425531915	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Lestes temporalis	1	0.13548951048951	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Lestes virens	1	0.126675603217158	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes sponsa	Sympecma paedisca	1	0.149361022364217	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes unguiculatus	Lestes dryas	1	0.0455927051671733	Assortative Mating + 
Mechanical Isolation
Odonata	Lestes virens	Lestes barbarus	1	0.143340094658553	Assortative Mating + 
Mechanical Isolation
Odonata	Leucorrhinia dubia	Leucorrhinia rubicunda	1	0.0262793914246196	Assortative Mating + 
Mechanical Isolation
Odonata	Leucorrhinia dubia	Sympetrum danae	1	0.131681877444589	Assortative Mating + 
Mechanical Isolation
Odonata	Leucorrhinia dubia	Sympetrum frequens	0.8	0.140980735551664	Oviposition
Odonata	Leucorrhinia glacialis	Leucorrhinia intacta	0	0.0364741641337386	Fertile F1 Hybrids
Odonata	Leucorrhinia hudsonica	Leucorrhinia proxima	0.8	0.00911854103343465	Oviposition
Odonata	Leucorrhinia proxima	Sympetrum pallipes	1	0.151975683890578	Assortative Mating + 
Mechanical Isolation
Odonata	Libellula angelina	Libellula quadrimaculata	0	0.0774647887323944	Fertile F1 Hybrids
Odonata	Libellula auripennis	Libellula cyanea	1	0.0234375	Assortative Mating + 
Mechanical Isolation
Odonata	Libellula auripennis	Libellula semifasciata	1	0.121212121212121	Assortative Mating + 
Mechanical Isolation
Odonata	Libellula flavida	Libellula cyanea	0.8	0.0454545454545455	Oviposition
Odonata	Libellula fulva	Libellula quadrimaculata	0.8	0.13407455853499	Oviposition
Odonata	Libellula luctuosa	Tramea carolina	1	0.156534954407295	Assortative Mating + 
Mechanical Isolation
Odonata	Libellula pulchella	Libellula luctuosa	0	0.0558789289871944	Fertile F1 Hybrids
Odonata	Libellula semifasciata	Celithemis eponina	1	0.148936170212766	Assortative Mating + 
Mechanical Isolation
Odonata	Mnais costalis	Mnais pruinosa	0	0	Fertile F1 Hybrids
Odonata	Nehalennia gracilis	Nehalennia irene	1	0.0998439937597504	Assortative Mating + 
Mechanical Isolation
Odonata	Onychogomphus forcipatus	Onychogomphus uncatus	1	0.133738601823708	Assortative Mating + 
Mechanical Isolation
Odonata	Ophiogomphus carolus	Phanogomphus lividus	1	0.146118721461187	Assortative Mating + 
Mechanical Isolation
Odonata	Ophiogomphus rupinsulensis	Ophiogomphus carolus	0	0	Fertile F1 Hybrids
Odonata	Ophiogomphus severus	Ophiogomphus occidentis	0.8	0.0182370820668693	Oviposition
Odonata	Orthetrum albistylum	Orthetrum poecilops	1	0.106430155210643	Assortative Mating + 
Mechanical Isolation
Odonata	Orthetrum albistylum	Orthetrum triangulare	1	0.10546875	Assortative Mating + 
Mechanical Isolation
Odonata	Orthetrum brunneum	Onychogomphus forcipatus	1	0.161417322834646	Assortative Mating + 
Mechanical Isolation
Odonata	Orthetrum cancellatum	Orthetrum albistylum	1	0.0609103078982597	Assortative Mating + 
Mechanical Isolation
Odonata	Paracercion melanotum	Paracercion plagiosum	1	0.124168514412417	Assortative Mating + 
Mechanical Isolation
Odonata	Phanogomphus exilis	Phanogomphus spicatus	1	0.0406626506024096	Assortative Mating + 
Mechanical Isolation
Odonata	Phanogomphus graslinellus	Gomphus lividus	0	0.0243161094224924	Fertile F1 Hybrids
Odonata	Phanogomphus graslinellus	Phanogomphus lividus	0	0.0197869101978691	Fertile F1 Hybrids
Odonata	Platycnemis pennipes	Coenagrion puella	1	0.176662320730117	Assortative Mating + 
Mechanical Isolation
Odonata	Platycnemis pennipes	Platycnemis acutipennis	0.6	0.103794642857143	Hybrid Inviability
Odonata	Pseudagrion rubriceps	Pseudagrion microcephalum	1	0.148588410104012	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Coenagrion lunulatum	1	0.167173252279635	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Coenagrion mercuriale	1	0.148040638606676	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Coenagrion puella	1	0.147327249022164	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Ischnura pumilio	1	0.163411458333333	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Lestes barbarus	1	0.180730897009967	Assortative Mating + 
Mechanical Isolation
Odonata	Pyrrhosoma nymphula	Sympecma fusca	1	0.181640625	Assortative Mating + 
Mechanical Isolation
Odonata	Somatochlora albicincta	Somatochlora hudsonica	1	0.0182370820668693	Assortative Mating + 
Mechanical Isolation
Odonata	Stylurus plagiatus	Dromogomphus armatus	1	0.155384615384615	Assortative Mating + 
Mechanical Isolation
Odonata	Sympecma fusca	Sympecma paedisca	1	0.09185303514377	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum croceolum	Sympetrum uniforme	0	0.0133037694013304	Fertile F1 Hybrids
Odonata	Sympetrum danae	Sympetrum sanguineum	1	0.114583333333333	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum darwinianum	Sympetrum maculatum	0	0.0332594235033259	Fertile F1 Hybrids
Odonata	Sympetrum depressiusculum	Crocothemis erythraea	1	0.146206896551724	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Libellula fulva	1	0.150344827586207	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Onychogomphus uncatus	1	0.202127659574468	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Orthetrum albistylum	1	0.146206896551724	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Orthetrum cancellatum	1	0.140883977900552	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Oxygastra curtisii	1	0.163294797687861	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Sympetrum fonscolombii	1	0.132413793103448	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum depressiusculum	Sympetrum frequens	0	0.00520833333333333	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum baccha	0	0.083041958041958	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum darwinianum	1	0.142482517482517	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum eroticum	Sympetrum parvulum	0	0.0824561403508772	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum pedemontanum	0	0.109139307897072	Fertile F1 Hybrids
Odonata	Sympetrum frequens	Pantala flavescens	1	0.161091549295775	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum frequens	Sympetrum infuscatum	0.8	0.145979020979021	Oviposition
Odonata	Sympetrum infuscatum	Sympetrum maculatum	0.8	0.121951219512195	Oviposition
Odonata	Sympetrum internum	Sympetrum rubicundulum	0.8	0.0137420718816068	Oviposition
Odonata	Sympetrum kunckeli	Sympetrum darwinianum	0.8	0.133741258741259	Oviposition
Odonata	Sympetrum kunckeli	Sympetrum eroticum	0	0.0804195804195804	Fertile F1 Hybrids
Odonata	Sympetrum meridionale	Sympetrum striolatum	1	0.129557291666667	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum obtrusum	Sympetrum danae	1	0.124203821656051	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum risi	Sympetrum eroticum	1	0.157342657342657	Assortative Mating + 
Mechanical Isolation
