Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	RI	Barrier
Odonata	Ischnura elegans	Pyrrhosoma nymphula	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura elegans	Sympecma fusca	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura erratica	Lestes disjunctus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura genei	Ischnura elegans	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura genei	Ischnura graellsii	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura genei	Ischnura saharensis	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura graellsii	Ischnura saharensis	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura perparva	Enallagma anna	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura pumilio	Coenagrion puella	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura pumilio	Enallagma cyathigerum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura pumilio	Ischnura elegans	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura pumilio	Ischnura graellsii	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Lestes australis	Enallagma cyathigerum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes barbarus	Chalcolestes viridis	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Lestes barbarus	Lestes dryas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes barbarus	Lestes sponsa	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes disjunctus	Chalcolestes viridis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes disjunctus	Enallagma cyathigerum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes disjunctus	Lestes vigilax	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes dryas	Lestes sponsa	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Lestes inaequalis	Lestes disjunctus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes rectangularis	Lestes congener	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes rectangularis	Lestes unguiculatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Ceriagrion tenellum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Chalcolestes viridis	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Lestes sponsa	Enallagma cyathigerum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Erythromma najas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Lestes temporalis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Lestes virens	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes sponsa	Sympecma paedisca	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes unguiculatus	Lestes dryas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Lestes virens	Lestes barbarus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Leucorrhinia dubia	Leucorrhinia rubicunda	N	N	N	NA	NA	1	Assortative Mating
Odonata	Leucorrhinia dubia	Sympetrum danae	N	N	N	NA	NA	1	Assortative Mating
Odonata	Leucorrhinia dubia	Sympetrum frequens	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Leucorrhinia glacialis	Leucorrhinia intacta	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Leucorrhinia hudsonica	Leucorrhinia proxima	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Leucorrhinia proxima	Sympetrum pallipes	N	N	N	NA	NA	1	Assortative Mating
Odonata	Libellula angelina	Libellula quadrimaculata	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Libellula auripennis	Libellula cyanea	N	N	N	NA	NA	1	Assortative Mating
Odonata	Libellula auripennis	Libellula semifasciata	N	N	N	NA	NA	1	Assortative Mating
Odonata	Libellula flavida	Libellula cyanea	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Libellula fulva	Libellula quadrimaculata	Y	N	N	NA	NA	0.8	Oviposition
