Order	Family	Sp1	Sp2	Condition	Reference
Lepidoptera	Notodontidae	Clostera anachoreta	Clostera pigra	Laboratory	Presgraves, DC, 2002
Lepidoptera	Notodontidae	Clostera apicalis	Clostera pigra	Laboratory	Presgraves, DC, 2002
Lepidoptera	Notodontidae	Clostera curtula	Clostera pigra	Laboratory	Presgraves, DC, 2002
Lepidoptera	Notodontidae	Thaumetopoea pityocampa	Thaumetopoea wilkinsoni	Field	Ipekdal, K; Burban, C; Saune, L; Battisti, A; Kerdelhue, C, 2020
Lepidoptera	Nymphalidae	Anartia amathea	Anartia fatima	Field	Dasmahapatra, KK; Blum, MJ; Aiello, A; Hackwell, S; Davies, N; Bermingham, EP; Mallett, T, 2002
Lepidoptera	Nymphalidae	Coenonympha arcania	Coenonympha gardetta	Field	Capblancq, T; Despres, L; Rioux, D; Mavarez, J, 2015
Lepidoptera	Nymphalidae	Danaus erippus	Danaus plexippus	Laboratory	Hay-Roe, MM; Lamas, G; Nation, JL, 2007
Lepidoptera	Nymphalidae	Erebia calcarius	Erebia cassioides	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Erebia calcarius	Erebia tyndarus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Erebia cassioides	Erebia nivalis	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Erebia cassioides	Erebia tyndarus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Erebia epiphron	Erebia pronoe	Field	Michel, F; Meglecz, E; Martin, JF; Descimon, H, 2013
Lepidoptera	Nymphalidae	Heliconius charithonia	Heliconius peruvianus	Field	Jiggins, CD; Davies, N, 1998
Lepidoptera	Nymphalidae	Heliconius cydno	Heliconius heurippa	Laboratory	Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M, 2017
Lepidoptera	Nymphalidae	Heliconius cydno	Heliconius ismenius	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Heliconius cydno	Heliconius melpomene	Field	BROWN, KS; EMMEL, TC; ELIAZAR, PJ; SUOMALAINEN, E, 1992
Lepidoptera	Nymphalidae	Heliconius cydno	Heliconius melpomene	Field	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Heliconius cydno	Heliconius pachinus	Field	Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE, 2006
Lepidoptera	Nymphalidae	Heliconius erato	Heliconius himera	Field	Jiggins, CD; McMillan, WO; Neukirchen, W; Mallet, J, 1996
Lepidoptera	Nymphalidae	Heliconius heurippa	Heliconius melpomene	Laboratory	Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M, 2017
Lepidoptera	Nymphalidae	Heliconius heurippa	Heliconius tristero	Field	Brower, AVZ, 1996
Lepidoptera	Nymphalidae	Heliconius melpomene	Heliconius pachinus	Field	Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE, 2006
Lepidoptera	Nymphalidae	Heliconius melpomene	Heliconius timareta	Field	Merot, C; Mavarez, J; Evin, A; Dasmahapatra, KK; Mallet, J; Lamas, G; Joron, M, 2013
Lepidoptera	Nymphalidae	Junonia coenia	Junonia zonalis	Field	Lalonde, MML; Marcus, JM, 2020
Lepidoptera	Nymphalidae	Limenitis archippus	Limenitis arthemis	Field	PLATT, AP; HARRISON, SJ, 1994
Lepidoptera	Nymphalidae	Limenitis archippus	Limenitis lorquini	Field	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Limenitis archippus	Limenitis weidemeyerii	Field	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Maniola chia	Maniola nurag	Field	Grill, A; de Vos, R; van Arkel, J, 2004
Lepidoptera	Nymphalidae	Maniola jurtina	Maniola nurag	Field	Grill, A; Gkiokia, E; Alvarez, N, 2006
Lepidoptera	Nymphalidae	Melitaea acentria	Melitaea acentria	Field	Pazhenkova, EA; Lukhtanov, VA, 2021
Lepidoptera	Nymphalidae	Melitaea ornata	Melitaea phoebe	Field	Russell, P; Bartolozzi, L, 2019
Lepidoptera	Nymphalidae	Phyciodes batesii	Phyciodes tharos	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Phyciodes campestris	Phyciodes tharos	Laboratory	Presgraves, DC, 2002
Lepidoptera	Nymphalidae	Phyciodes cocyta	Phyciodes tharos	Laboratory	OLIVER, CG, 1980
Lepidoptera	Papilionidae	Iphiclides feisthamelii	Iphiclides podalirius	Field	Gaunet, A; Dinca, V; Dapporto, L; Montagud, S; Voda, R; Schar, S; Badiane, A; Font, E; Vila, R, 2019
Lepidoptera	Papilionidae	Papilio aegeus	Papilio helenus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio aegeus	Papilio maackii	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio aegeus	Papilio machaon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio aegeus	Papilio macilentus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio aegeus	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio aegeus	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio alexiares	Papilio glaucus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio alphenor	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio arcturus	Papilio bianor	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio ascalaphus	Papilio memnon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio bianor	Papilio maackii	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio bianor	Papilio machaon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio bianor	Papilio paris	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio bianor	Papilio polyctor	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio bianor	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio brevicauda	Papilio machaon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio brevicauda	Papilio polyxenes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio canadensis	Papilio glaucus	Field	Scriber, JM; Hagen, RH; Lederhouse, RC, 1996
Lepidoptera	Papilionidae	Papilio constantinus	Papilio dardanus	Laboratory	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI, 1991
Lepidoptera	Papilionidae	Papilio constantinus	Papilio phorcas	Laboratory	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI, 1991
Lepidoptera	Papilionidae	Papilio dardanus	Papilio phorcas	Field	VANEWRIGHT, RI; SMITH, CR, 1992
Lepidoptera	Papilionidae	Papilio demoleus	Papilio maackii	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio demoleus	Papilio machaon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio demoleus	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio eurymedon	Papilio glaucus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio eurymedon	Papilio multicaudatus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio eurymedon	Papilio rutulus	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio fuscus	Papilio macilentus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio fuscus	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio glaucus	Papilio multicaudatus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio glaucus	Papilio rutulus	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio glaucus	Papilio scamander	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio glaucus	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio helenus	Papilio hystaspes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio helenus	Papilio memnon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio helenus	Papilio nephelus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio helenus	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio helenus	Papilio protenor	Field	SPERLING, FAH, 1990
Lepidoptera	Papilionidae	Papilio helenus	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio hipponous	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio hospiton	Papilio machaon	Field	Aubert, J; Barascud, B; Descimon, H; Michel, F, 1997
Lepidoptera	Papilionidae	Papilio maackii	Papilio polyctor	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio maackii	Papilio xuthus	Laboratory	Presgraves, DC, 2002
