Order	Sp1	Sp2	Distance
Lepidoptera	Hyalophora cecropia	Hyalophora columbia	0.0121396054628225
Lepidoptera	Hyalophora cecropia	Hyalophora euryalus	0.013677811550152
Lepidoptera	Hyalophora cecropia	Hyalophora gloveri	0.0121580547112462
Lepidoptera	Hyalophora columbia	Hyalophora euryalus	0.0166919575113809
Lepidoptera	Hyalophora euryalus	Hyalophora gloveri	0.0167173252279635
Lepidoptera	Hydraecia immanis	Hydraecia micacea	0.0592705167173252
Lepidoptera	Hyles chamyla	Hyles hippophaes	0.0214521452145215
Lepidoptera	Hyles dahlii	Hyles gallii	0.0267449445531637
Lepidoptera	Hyles euphorbiae	Deilephila elpenor	0.0669291338582677
Lepidoptera	Hyles euphorbiae	Deilephila porcellus	0.070700203942896
Lepidoptera	Hyles euphorbiae	Hyles gallii	0.0261267145656434
Lepidoptera	Hyles euphorbiae	Hyles hippophaes	0.0229809586342745
Lepidoptera	Hyles euphorbiae	Hyles lineata	0.052317880794702
Lepidoptera	Hyles euphorbiae	Hyles tithymali	0.0030441400304414
Lepidoptera	Hyles euphorbiae	Hyles vespertilio	0.0183006535947712
Lepidoptera	Hyles gallii	Deilephila elpenor	0.0681520314547838
Lepidoptera	Hyles gallii	Deilephila porcellus	0.0712830957230143
Lepidoptera	Hyles gallii	Hyles hippophaes	0.0334426229508197
Lepidoptera	Hyles gallii	Hyles lineata	0.0509259259259259
Lepidoptera	Hyles gallii	Hyles livornica	0.031331592689295
Lepidoptera	Hyles gallii	Hyles vespertilio	0.0293733681462141
Lepidoptera	Hyles hippophaes	Deilephila elpenor	0.0743910467412772
Lepidoptera	Hyles hippophaes	Hyles lineata	0.0605053191489362
Lepidoptera	Hyles hippophaes	Hyles vespertilio	0.0328083989501312
Lepidoptera	Hyles vespertilio	Deilephila elpenor	0.0701639344262295
Lepidoptera	Iphiclides feisthamelii	Iphiclides podalirius	0.00140252454417952
Lepidoptera	Junonia coenia	Junonia zonalis	0.0349544072948328
Lepidoptera	Laothoe austauti	Smerinthus ocellata	0.089041095890411
Lepidoptera	Laothoe populi	Smerinthus ocellata	0.0866261398176292
Lepidoptera	Leptidea reali	Leptidea sinapis	0.0115440115440115
Lepidoptera	Limenitis archippus	Limenitis arthemis	0.030718954248366
Lepidoptera	Limenitis archippus	Limenitis lorquini	0.0332005312084993
Lepidoptera	Limenitis archippus	Limenitis weidemeyerii	0.0333115610711953
Lepidoptera	Lycia hirtaria	Lycia lapponaria	0.0298953662182362
Lepidoptera	Lycia isabellae	Lycia lapponaria	0.0196560196560197
Lepidoptera	Lycia isabellae	Lycia pomonaria	0.00982800982800983
Lepidoptera	Lycia lapponaria	Lycia pomonaria	0.0119402985074627
Lepidoptera	Lycia zonaria	Lycia isabellae	0.130864197530864
Lepidoptera	Lycia zonaria	Lycia lapponaria	0.0441400304414003
Lepidoptera	Lycia zonaria	Lycia pomonaria	0.0426179604261796
Lepidoptera	Malacosoma castrensis	Malacosoma neustria	0.047112462006079
Lepidoptera	Malacosoma franconica	Malacosoma neustria	0.0455927051671733
Lepidoptera	Maniola chia	Maniola nurag	0.0147275405007364
Lepidoptera	Maniola jurtina	Maniola nurag	0.0147275405007364
Lepidoptera	Melitaea acentria	Melitaea acentria	0
Lepidoptera	Melitaea ornata	Melitaea phoebe	0.0226337448559671
Lepidoptera	Mimas tiliae	Smerinthus ocellata	0.115501519756839
Lepidoptera	Operophtera bruceata	Operophtera brumata	0.075707702435813
Lepidoptera	Orgyia antiqua	Orgyia thyellina	0.0940298507462687
Lepidoptera	Ostrinia furnacalis	Ostrinia nubilalis	0.0216110019646365
Lepidoptera	Ostrinia furnacalis	Ostrinia scapulalis	0.0165118679050568
Lepidoptera	Ostrinia zaguliaevi	Ostrinia zealis	0.0137404580152672
Lepidoptera	Papilio aegeus	Papilio helenus	0.0635451505016722
Lepidoptera	Papilio aegeus	Papilio maackii	0.076837416481069
Lepidoptera	Papilio aegeus	Papilio machaon	0.0879732739420935
Lepidoptera	Papilio aegeus	Papilio macilentus	0.0579064587973274
Lepidoptera	Papilio aegeus	Papilio polytes	0.0623608017817372
Lepidoptera	Papilio aegeus	Papilio xuthus	0.0846325167037862
Lepidoptera	Papilio alexiares	Papilio glaucus	0.00311526479750779
Lepidoptera	Papilio arcturus	Papilio bianor	0.0427074939564867
Lepidoptera	Papilio bianor	Papilio maackii	0.038562091503268
Lepidoptera	Papilio bianor	Papilio machaon	0.0720366732154551
Lepidoptera	Papilio bianor	Papilio paris	0.0455259026687598
Lepidoptera	Papilio bianor	Papilio polyctor	0.0176848874598071
Lepidoptera	Papilio bianor	Papilio xuthus	0.0894839973873285
Lepidoptera	Papilio brevicauda	Papilio machaon	0.0138067061143984
Lepidoptera	Papilio brevicauda	Papilio polyxenes	0.0424581005586592
Lepidoptera	Papilio canadensis	Papilio glaucus	0.0157103825136612
Lepidoptera	Papilio constantinus	Papilio dardanus	0.0647482014388489
Lepidoptera	Papilio constantinus	Papilio phorcas	0.0721153846153846
Lepidoptera	Papilio dardanus	Papilio phorcas	0.0766550522648084
Lepidoptera	Papilio demoleus	Papilio maackii	0.0670277589708869
Lepidoptera	Papilio demoleus	Papilio machaon	0.0704129993229519
Lepidoptera	Papilio demoleus	Papilio xuthus	0.0717185385656292
Lepidoptera	Papilio eurymedon	Papilio glaucus	0.0319148936170213
Lepidoptera	Papilio eurymedon	Papilio multicaudatus	0.0379939209726444
Lepidoptera	Papilio eurymedon	Papilio rutulus	0.00151975683890578
Lepidoptera	Papilio fuscus	Papilio macilentus	0.074468085106383
Lepidoptera	Papilio fuscus	Papilio polytes	0.0714285714285714
Lepidoptera	Papilio glaucus	Papilio multicaudatus	0.0284552845528455
Lepidoptera	Papilio glaucus	Papilio rutulus	0.0264496439471007
Lepidoptera	Papilio glaucus	Papilio scamander	0.0556792873051225
Lepidoptera	Papilio glaucus	Papilio xuthus	0.0896596858638743
Lepidoptera	Papilio helenus	Papilio memnon	0.0726915520628684
Lepidoptera	Papilio helenus	Papilio nephelus	0.0791527313266444
Lepidoptera	Papilio helenus	Papilio polytes	0.0702099737532808
Lepidoptera	Papilio helenus	Papilio protenor	0.0700261780104712
Lepidoptera	Papilio helenus	Papilio xuthus	0.0831151832460733
Lepidoptera	Papilio hipponous	Papilio polytes	0.0657015590200445
Lepidoptera	Papilio hospiton	Papilio machaon	0.0356347438752784
Lepidoptera	Papilio maackii	Papilio polyctor	0.0434432823813355
Lepidoptera	Papilio maackii	Papilio xuthus	0.0843137254901961
Lepidoptera	Papilio machaon	Papilio maackii	0.0701179554390564
Lepidoptera	Papilio machaon	Papilio macilentus	0.0879507475813544
Lepidoptera	Papilio machaon	Papilio polytes	0.083989501312336
Lepidoptera	Papilio machaon	Papilio polyxenes	0.0391061452513966
Lepidoptera	Papilio machaon	Papilio protenor	0.0798952193844139
Lepidoptera	Papilio machaon	Papilio xuthus	0.0766208251473477
Lepidoptera	Papilio machaon	Papilio zelicaon	0.0394144144144144
Lepidoptera	Papilio macilentus	Papilio memnon	0.0589788732394366
Lepidoptera	Papilio macilentus	Papilio xuthus	0.0870712401055409
Lepidoptera	Papilio memnon	Papilio polymnestor	0.0118518518518519
Lepidoptera	Papilio memnon	Papilio polytes	0.0701639344262295
Lepidoptera	Papilio memnon	Papilio rumanzovia	0.0379464285714286
Lepidoptera	Papilio memnon	Papilio xuthus	0.0941176470588235
Lepidoptera	Papilio multicaudatus	Papilio rutulus	0.0305188199389624
Lepidoptera	Papilio nephelus	Papilio polytes	0.0623608017817372
Lepidoptera	Papilio palamedes	Papilio scamander	0.0690423162583519
Lepidoptera	Papilio paris	Papilio xuthus	0.0832025117739403
Lepidoptera	Papilio polymnestor	Papilio rumanzovia	0.0415430267062315
Lepidoptera	Papilio polytes	Papilio polytes	0
Lepidoptera	Papilio polytes	Papilio protenor	0.053735255570118
Lepidoptera	Papilio polyxenes	Papilio machaon	0.0391061452513966
Lepidoptera	Papilio polyxenes	Papilio xuthus	0.0647321428571429
Lepidoptera	Papilio polyxenes	Papilio zelicaon	0.0259593679458239
Lepidoptera	Papilio protenor	Papilio xuthus	0.0894839973873285
Lepidoptera	Papilio zelicaon	Papilio polyxenes	0.0259593679458239
Lepidoptera	Parnassius apollo	Parnassius phoebus	0.0211920529801325
Lepidoptera	Parnassius bremeri	Parnassius nomion	0.0449438202247191
Lepidoptera	Pelopidas agna	Pelopidas mathias	0.0434782608695652
Lepidoptera	Phyciodes batesii	Phyciodes tharos	0.0152224824355972
Lepidoptera	Phyciodes cocyta	Phyciodes tharos	0.0176056338028169
Lepidoptera	Phyllodesma ilicifolia	Phyllodesma tremulifolia	0
Lepidoptera	Pieris bryoniae	Pieris napi	0.0167173252279635
Lepidoptera	Pieris dulcinea	Pieris napi	0.0197674418604651
Lepidoptera	Pieris ergane	Pieris napi	0.0453488372093023
Lepidoptera	Pieris macdunnoughii	Pieris napi	0.0182370820668693
Lepidoptera	Pieris mannii	Pieris napi	0.074468085106383
Lepidoptera	Pieris mannii	Pieris rapae	0.0395136778115502
Lepidoptera	Pieris marginalis	Pieris napi	0.013677811550152
Lepidoptera	Pieris marginalis	Pieris oleracea	0.0167427701674277
Lepidoptera	Pieris melete	Pieris napi	0.0456570155902004
Lepidoptera	Pieris microstriata	Pieris napi	0.0120481927710843
Lepidoptera	Pieris napi	Pieris bryoniae	0.0167173252279635
Lepidoptera	Pieris napi	Pieris oleracea	0.0167173252279635
Lepidoptera	Pieris napi	Pieris rapae	0.0735785953177258
Lepidoptera	Pieris napi	Pieris virginiensis	0.0197568389057751
Lepidoptera	Pieris rapae	Pontia daplidice	0.095397489539749
Lepidoptera	Plebejus idas	Plebejus melissa	0.0170818505338078
Lepidoptera	Pontia daplidice	Pontia edusa	0.0735294117647059
Lepidoptera	Pontia protodice	Pontia daplidice	0.0987841945288754
Lepidoptera	Pseudophilotes baton	Pseudophilotes vicrama	0.00766550522648084
Lepidoptera	Pyrgus malvae	Pyrgus malvoides	0.00911854103343465
Lepidoptera	Saturnia mendocino	Saturnia walterorum	0
Lepidoptera	Saturnia pavonia	Saturnia pyri	0.0714285714285714
Lepidoptera	Selenia bilunaria	Selenia tetralunaria	0.0911854103343465
Lepidoptera	Spodoptera descoinsi	Spodoptera latifascia	0.035035035035035
Lepidoptera	Spodoptera littoralis	Spodoptera litura	0.0335241210139002
Lepidoptera	Thaumetopoea pityocampa	Thaumetopoea wilkinsoni	0.0824742268041237
Lepidoptera	Thera obeliscata	Thera variata	0.0287610619469027
Lepidoptera	Timandra comae	Timandra griseata	0.0144478844169247
Lepidoptera	Udea alpinalis	Udea uliginosalis	0.021602787456446
Lepidoptera	Yponomeuta cagnagella	Yponomeuta malinellus	0.0122767857142857
Lepidoptera	Yponomeuta cagnagella	Yponomeuta padella	0.00205549845837616
Lepidoptera	Yponomeuta malinellus	Yponomeuta padella	0.010022271714922
Lepidoptera	Zizina emelina	Zizina otis	0.0137404580152672
Lepidoptera	Zizina labradus	Zizina oxleyi	0.0205047318611987
Odonata	Enallagma carunculatum	Ischnura cervula	0.130637636080871
Odonata	Enallagma carunculatum	Ischnura perparva	0.266304347826087
Odonata	Enallagma cyathigerum	Ischnura denticollis	0.132218844984802
Odonata	Enallagma hageni	Ischnura cervula	0.122291021671827
Odonata	Ischnura barberi	Ischnura ramburii	0.122916666666667
Odonata	Ischnura damula	Ischnura demorsa	0.00415800415800416
Odonata	Ischnura demorsa	Ischnura damula	0.00415800415800416
Odonata	Ischnura denticollis	Ischnura gemina	0.0388768898488121
Odonata	Ischnura elegans	Calopteryx splendens	0.186031331592689
Odonata	Ischnura elegans	Coenagrion puella	0.143696930111039
Odonata	Ischnura elegans	Coenagrion pulchellum	0.146710526315789
Odonata	Ischnura elegans	Enallagma cyathigerum	0.129980404964076
Odonata	Ischnura elegans	Erythromma lindenii	0.167864141084259
Odonata	Ischnura elegans	Erythromma najas	0.164228723404255
Odonata	Ischnura elegans	Ischnura genei	0.00592592592592593
Odonata	Ischnura elegans	Ischnura graellsii	0.00156985871271586
Odonata	Ischnura elegans	Lestes sponsa	0.182178217821782
Odonata	Ischnura elegans	Pyrrhosoma nymphula	0.153294194390085
Odonata	Ischnura elegans	Sympecma fusca	0.196999347684279
Odonata	Ischnura erratica	Lestes disjunctus	0.188925081433225
Odonata	Ischnura gemina	Ischnura denticollis	0.0388768898488121
Odonata	Ischnura genei	Ischnura elegans	0.00592592592592593
Odonata	Ischnura genei	Ischnura graellsii	0.00786163522012579
Odonata	Ischnura graellsii	Ischnura elegans	0.00156985871271586
Odonata	Ischnura graellsii	Ischnura genei	0.00786163522012579
Odonata	Ischnura graellsii	Ischnura saharensis	0
Odonata	Ischnura perparva	Enallagma anna	0.143790849673203
Odonata	Ischnura pumilio	Coenagrion puella	0.148631029986962
Odonata	Ischnura pumilio	Enallagma cyathigerum	0.139281129653402
Odonata	Ischnura pumilio	Ischnura elegans	0.12133072407045
Odonata	Ischnura pumilio	Ischnura graellsii	0.133437990580848
Odonata	Ischnura pumilio	Platycnemis pennipes	0.182942708333333
Odonata	Ischnura saharensis	Ischnura graellsii	0
Odonata	Pyrrhosoma nymphula	Ischnura elegans	0.153294194390085
Odonata	Pyrrhosoma nymphula	Ischnura pumilio	0.163411458333333
Orthoptera	Chorthippus albomarginatus	Chorthippus karelini	0.0121739130434783
Orthoptera	Chorthippus albomarginatus	Chorthippus oschei	0.0121739130434783
Orthoptera	Chorthippus biguttulus	Chorthippus brunneus	0.00303951367781155
Orthoptera	Chorthippus biguttulus	Chorthippus mollis	0.00151975683890578
Orthoptera	Chorthippus brunneus	Chorthippus jacobsi	0.00871080139372822
Orthoptera	Chorthippus karelini	Chorthippus oschei	0.00695652173913044
Orthoptera	Chorthippus mollis	Chorthippus biguttulus	0.00151975683890578
Orthoptera	Chorthippus montanus	Chorthippus parallelus	0.0440729483282675
Orthoptera	Chorthippus parallelus	Chorthippus montanus	0.0440729483282675
Orthoptera	Cyphoderris buckelli	Cyphoderris monstrosa	0.0721804511278196
Orthoptera	Gryllus bimaculatus	Gryllus campestris	0.033434650455927
Orthoptera	Gryllus firmus	Gryllus pennsylvanicus	0.0106544901065449
Orthoptera	Gryllus rubens	Gryllus texensis	0.487520798668885
Orthoptera	Hemideina thoracica	Hemideina crassidens	0.181596091205212
Orthoptera	Hemideina thoracica	Hemideina trewicki	0.18452380952381
Orthoptera	Hexacentrus japonicus	Hexacentrus unicolor	0.108865710560626
Orthoptera	Phaulacridium marginale	Phaulacridium otagoense	0.0288713910761155
Orthoptera	Saga campbelli	Saga hellenica	0.110260336906585
Orthoptera	Saga pedo	Saga rammei	0.13030303030303
Orthoptera	Teleogryllus oceanicus	Teleogryllus commodus	0.0563380281690141
Orthoptera	Trimerotropis agrestis	Trimerotropis maritima	0.00455927051671732
