Order	Suborder	Family	Sp1	Sp2	Distance
Lepidoptera	"Butterfly"	Pieridae	Colias eurytheme	Average	0.017993821640953
Lepidoptera	"Butterfly"	Pieridae	Colias hyale	Colias alfacariensis	0.0210526315789474
Lepidoptera	"Butterfly"	Pieridae	Colias philodice	Colias interior	0.00578034682080925
Lepidoptera	"Butterfly"	Pieridae	Enantia albania	Average	0.0478723404255319
Lepidoptera	"Butterfly"	Pieridae	Leptidea sinapis	Leptidea reali	0.0115440115440115
Lepidoptera	"Butterfly"	Pieridae	Pieris mannii	Average	0.0569908814589666
Lepidoptera	"Butterfly"	Pieridae	Pieris marginalis	Average	0.0152102908587898
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Average	0.0277800211251962
Lepidoptera	"Butterfly"	Pieridae	Pontia daplidice	Average	0.0907771463432698
Lepidoptera	"Moth"	Saturniidae	Antheraea pernyi	Average	0.0404173475570571
Lepidoptera	"Moth"	Saturniidae	Callosamia angulifera	Average	0.0552178318135765
Lepidoptera	"Moth"	Saturniidae	Callosamia securifera	Callosamia promethea	0.0486322188449848
Lepidoptera	"Moth"	Saturniidae	Citheronia splendens	Citheronia regalis	0.060790273556231
Lepidoptera	"Moth"	Saturniidae	Hyalophora cecropia	Average	0.0126584905747402
Lepidoptera	"Moth"	Saturniidae	Hyalophora euryalus	Hyalophora columbia	0.0166919575113809
Lepidoptera	"Moth"	Saturniidae	Hyalophora gloveri	Hyalophora euryalus	0.0167173252279635
Lepidoptera	"Moth"	Saturniidae	Saturnia pyri	Saturnia pavonia	0.0714285714285714
Lepidoptera	"Moth"	Saturniidae	Saturnia walterorum	Saturnia mendocino	0
Lepidoptera	"Moth"	Sphingidae	Deilephila elpenor	Average	0.0661243740955678
Lepidoptera	"Moth"	Sphingidae	Deilephila porcellus	Average	0.0709916498329551
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Average	0.0245540695239665
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Average	0.0315066609906137
Lepidoptera	"Moth"	Sphingidae	Hyles hippophaes	Average	0.0340545021320276
Lepidoptera	"Moth"	Sphingidae	Philodila astyanor	Gnathothlibus eras	0.0531914893617021
Lepidoptera	"Moth"	Sphingidae	Smerinthus ocellata	Average	0.0970562518216263
Lepidoptera	"Moth"	Tortricidae	Choristoneura biennis	Average	0.0202781199739931
Lepidoptera	"Moth"	Tortricidae	Choristoneura fumiferana	Average	0.0232139375083046
Lepidoptera	"Moth"	Tortricidae	Choristoneura occidentalis	Average	0.009528463493927
Lepidoptera	"Moth"	Tortricidae	Choristoneura retiniana	Choristoneura pinus	0.0158311345646438
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta cagnagella	Average	0.00716614208633093
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta padella	Yponomeuta malinellus	0.010022271714922
Lepidoptera	"Moth"	Zygaenidae	Adscita italica	Adscita alpina	0.0060790273556231
Odonata	Zygoptera	Coenagrionidae	Coenagrion puella	Average	0.146163980049
Odonata	Zygoptera	Coenagrionidae	Enallagma carunculatum	Average	0.198470991953479
Odonata	Zygoptera	Coenagrionidae	Enallagma cyathigerum	Average	0.13382679320076
Odonata	Zygoptera	Coenagrionidae	Ischnura cervula	Enallagma hageni	0.122291021671827
Odonata	Zygoptera	Coenagrionidae	Ischnura demorsa	Ischnura damula	0.00415800415800416
Odonata	Zygoptera	Coenagrionidae	Ischnura elegans	Average	0.155010220099573
Odonata	Zygoptera	Coenagrionidae	Ischnura gemina	Ischnura denticollis	0.0388768898488121
Odonata	Zygoptera	Coenagrionidae	Ischnura graellsii	Average	0.0372903152552748
Odonata	Zygoptera	Coenagrionidae	Ischnura perparva	Enallagma anna	0.143790849673203
Odonata	Zygoptera	Coenagrionidae	Ischnura pumilio	Average	0.173177083333333
Odonata	Zygoptera	Coenagrionidae	Ischnura ramburii	Ischnura barberi	0.122916666666667
Odonata	Zygoptera	Coenagrionidae	Lestes disjunctus	Ischnura erratica	0.188925081433225
Orthoptera	Caelifera	Acrididae	Chorthippus albomarginatus	Average	0.0121739130434783
Orthoptera	Caelifera	Acrididae	Chorthippus biguttulus	Average	0.00227963525835866
Orthoptera	Caelifera	Acrididae	Chorthippus jacobsi	Chorthippus brunneus	0.00871080139372822
Orthoptera	Caelifera	Acrididae	Chorthippus oschei	Chorthippus karelini	0.00695652173913044
Orthoptera	Caelifera	Acrididae	Chorthippus parallelus	Chorthippus montanus	0.0440729483282675
Orthoptera	Caelifera	Acrididae	Phaulacridium otagoense	Phaulacridium marginale	0.0288713910761155
Orthoptera	Caelifera	Acrididae	Trimerotropis maritima	Trimerotropis agrestis	0.00455927051671732
Orthoptera	Ensifera	Anostostomatidae	Hemideina thoracica	Hemideina crassidens	0.181596091205212
Orthoptera	Ensifera	Anostostomatidae	Hemideina trewicki	Hemideina thoracica	0.18452380952381
Orthoptera	Ensifera	Gryllidae	Gryllus campestris	Gryllus bimaculatus	0.033434650455927
Orthoptera	Ensifera	Gryllidae	Gryllus pennsylvanicus	Gryllus firmus	0.0106544901065449
Orthoptera	Ensifera	Gryllidae	Gryllus texensis	Gryllus rubens	0.487520798668885
Orthoptera	Ensifera	Gryllidae	Teleogryllus oceanicus	Teleogryllus commodus	0.0563380281690141
Orthoptera	Ensifera	Prophalangopsidae	Cyphoderris monstrosa	Cyphoderris buckelli	0.0721804511278196
Orthoptera	Ensifera	Tettigoniidae	Hexacentrus unicolor	Hexacentrus japonicus	0.108865710560626
Orthoptera	Ensifera	Tettigoniidae	Saga hellenica	Saga campbelli	0.110260336906585
Orthoptera	Ensifera	Tettigoniidae	Saga rammei	Saga pedo	0.13030303030303
