Order	Suborder	Family	Cross	Condition	Distance
Lepidoptera	"Moth"	Geometridae	Lycia_zonaria_X_Lycia_isabellae	Laboratory	0.130864197530864
Lepidoptera	"Moth"	Geometridae	Lycia_zonaria_X_Lycia_lapponaria	Laboratory	0.0441400304414003
Lepidoptera	"Moth"	Geometridae	Lycia_zonaria_X_Lycia_pomonaria	Laboratory	0.0426179604261796
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma_castrensis_X_Malacosoma_neustria	Laboratory	0.047112462006079
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma_franconica_X_Malacosoma_neustria	Laboratory	0.0455927051671733
Lepidoptera	"Butterfly"	Nymphalidae	Maniola_chia_X_Maniola_nurag	Field	0.0147275405007364
Lepidoptera	"Butterfly"	Nymphalidae	Maniola_jurtina_X_Maniola_nurag	Field	0.0147275405007364
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea_acentria_X_Melitaea_acentria	Field	0
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea_ornata_X_Melitaea_phoebe	Field	0.0226337448559671
Lepidoptera	"Moth"	Sphingidae	Mimas_tiliae_X_Smerinthus_ocellata	Laboratory	0.115501519756839
Lepidoptera	"Moth"	Geometridae	Operophtera_bruceata_X_Operophtera_brumata	Field	0.0756578947368421
Lepidoptera	"Moth"	Erebidae	Orgyia_antiqua_X_Orgyia_thyellina	Laboratory	0.0925373134328358
Lepidoptera	"Moth"	Crambidae	Ostrinia_furnacalis_X_Ostrinia_nubilalis	Field	0.0216110019646365
Lepidoptera	"Moth"	Crambidae	Ostrinia_furnacalis_X_Ostrinia_scapulalis	Field	0.0165118679050568
Lepidoptera	"Moth"	Crambidae	Ostrinia_zaguliaevi_X_Ostrinia_zealis	Laboratory	0.0137404580152672
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_helenus	Laboratory	0.0635451505016722
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_maackii	Laboratory	0.076837416481069
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_machaon	Laboratory	0.0879732739420935
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_macilentus	Laboratory	0.0579064587973274
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_polytes	Laboratory	0.0623608017817372
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Papilio_xuthus	Laboratory	0.0846325167037862
Lepidoptera	"Butterfly"	Papilionidae	Papilio_alexiares_X_Papilio_glaucus	Laboratory	0.00311526479750779
Lepidoptera	"Butterfly"	Papilionidae	Papilio_arcturus_X_Papilio_bianor	Laboratory	0.0427074939564867
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Papilio_maackii	Laboratory	0.038562091503268
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Papilio_machaon	Laboratory	0.0720366732154551
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Papilio_paris	Laboratory	0.0455259026687598
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Papilio_polyctor	Laboratory	0.0176848874598071
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Papilio_xuthus	Laboratory	0.0894839973873285
Lepidoptera	"Butterfly"	Papilionidae	Papilio_brevicauda_X_Papilio_machaon	Laboratory	0.0138067061143984
Lepidoptera	"Butterfly"	Papilionidae	Papilio_brevicauda_X_Papilio_polyxenes	Laboratory	0.0424581005586592
Lepidoptera	"Butterfly"	Papilionidae	Papilio_canadensis_X_Papilio_glaucus	Field	0.0157103825136612
Lepidoptera	"Butterfly"	Papilionidae	Papilio_constantinus_X_Papilio_dardanus	Laboratory	0.0647482014388489
Lepidoptera	"Butterfly"	Papilionidae	Papilio_constantinus_X_Papilio_phorcas	Laboratory	0.0721153846153846
Lepidoptera	"Butterfly"	Papilionidae	Papilio_dardanus_X_Papilio_phorcas	Field	0.0766550522648084
Lepidoptera	"Butterfly"	Papilionidae	Papilio_demoleus_X_Papilio_maackii	Laboratory	0.0670277589708869
Lepidoptera	"Butterfly"	Papilionidae	Papilio_demoleus_X_Papilio_machaon	Laboratory	0.0704129993229519
Lepidoptera	"Butterfly"	Papilionidae	Papilio_demoleus_X_Papilio_xuthus	Laboratory	0.0717185385656292
Lepidoptera	"Butterfly"	Papilionidae	Papilio_eurymedon_X_Papilio_glaucus	Laboratory	0.0319148936170213
Lepidoptera	"Butterfly"	Papilionidae	Papilio_eurymedon_X_Papilio_multicaudatus	Laboratory	0.0379939209726444
Lepidoptera	"Butterfly"	Papilionidae	Papilio_eurymedon_X_Papilio_rutulus	Field	0.00151975683890578
Lepidoptera	"Butterfly"	Papilionidae	Papilio_fuscus_X_Papilio_macilentus	Laboratory	0.074468085106383
Lepidoptera	"Butterfly"	Papilionidae	Papilio_fuscus_X_Papilio_polytes	Laboratory	0.0714285714285714
Lepidoptera	"Butterfly"	Papilionidae	Papilio_glaucus_X_Papilio_multicaudatus	Laboratory	0.0284552845528455
Lepidoptera	"Butterfly"	Papilionidae	Papilio_glaucus_X_Papilio_rutulus	Field	0.0264496439471007
Lepidoptera	"Butterfly"	Papilionidae	Papilio_glaucus_X_Papilio_scamander	Laboratory	0.0556792873051225
Lepidoptera	"Butterfly"	Papilionidae	Papilio_glaucus_X_Papilio_xuthus	Laboratory	0.0896596858638743
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Papilio_memnon	Laboratory	0.0713817943680419
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Papilio_nephelus	Laboratory	0.0791527313266444
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Papilio_polytes	Laboratory	0.0702099737532808
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Papilio_protenor	Field	0.0700261780104712
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Papilio_xuthus	Laboratory	0.0831151832460733
Lepidoptera	"Butterfly"	Papilionidae	Papilio_hipponous_X_Papilio_polytes	Laboratory	0.0657015590200445
Lepidoptera	"Butterfly"	Papilionidae	Papilio_hospiton_X_Papilio_machaon	Field	0.0356347438752784
Lepidoptera	"Butterfly"	Papilionidae	Papilio_maackii_X_Papilio_polyctor	Laboratory	0.0434432823813355
Lepidoptera	"Butterfly"	Papilionidae	Papilio_maackii_X_Papilio_xuthus	Laboratory	0.0843137254901961
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_maackii	Laboratory	0.0701179554390564
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_macilentus	Laboratory	0.0879507475813544
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_polytes	Laboratory	0.083989501312336
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_polyxenes	Field	0.0391061452513966
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_protenor	Laboratory	0.0798952193844139
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_xuthus	Laboratory	0.0766208251473477
Lepidoptera	"Butterfly"	Papilionidae	Papilio_machaon_X_Papilio_zelicaon	Field	0.0394144144144144
Lepidoptera	"Butterfly"	Papilionidae	Papilio_macilentus_X_Papilio_memnon	Field	0.0572183098591549
Lepidoptera	"Butterfly"	Papilionidae	Papilio_macilentus_X_Papilio_xuthus	Laboratory	0.0870712401055409
Lepidoptera	"Butterfly"	Papilionidae	Papilio_memnon_X_Papilio_polymnestor	Field	0.00888888888888889
Lepidoptera	"Butterfly"	Papilionidae	Papilio_memnon_X_Papilio_polytes	Laboratory	0.0701639344262295
Lepidoptera	"Butterfly"	Papilionidae	Papilio_memnon_X_Papilio_rumanzovia	Laboratory	0.0357142857142857
Lepidoptera	"Butterfly"	Papilionidae	Papilio_memnon_X_Papilio_xuthus	Laboratory	0.0928104575163399
Lepidoptera	"Butterfly"	Papilionidae	Papilio_multicaudatus_X_Papilio_rutulus	Field	0.0305188199389624
Lepidoptera	"Butterfly"	Papilionidae	Papilio_nephelus_X_Papilio_polytes	Laboratory	0.0623608017817372
Lepidoptera	"Butterfly"	Papilionidae	Papilio_palamedes_X_Papilio_scamander	Laboratory	0.0690423162583519
Lepidoptera	"Butterfly"	Papilionidae	Papilio_paris_X_Papilio_xuthus	Laboratory	0.0832025117739403
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polymnestor_X_Papilio_rumanzovia	Laboratory	0.0415430267062315
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polytes_X_Papilio_polytes	Laboratory	0
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polytes_X_Papilio_protenor	Laboratory	0.053735255570118
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polyxenes_X_Papilio_machaon	Laboratory	0.0391061452513966
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polyxenes_X_Papilio_xuthus	Laboratory	0.0647321428571429
Lepidoptera	"Butterfly"	Papilionidae	Papilio_polyxenes_X_Papilio_zelicaon	Laboratory	0.0259593679458239
Lepidoptera	"Butterfly"	Papilionidae	Papilio_protenor_X_Papilio_xuthus	Laboratory	0.0894839973873285
Lepidoptera	"Butterfly"	Papilionidae	Papilio_zelicaon_X_Papilio_polyxenes	Laboratory	0.0259593679458239
Lepidoptera	"Butterfly"	Papilionidae	Parnassius_apollo_X_Parnassius_phoebus	Field	0.0211920529801325
Lepidoptera	"Butterfly"	Papilionidae	Parnassius_bremeri_X_Parnassius_nomion	Field	0.0449438202247191
