Order	Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Lepidoptera	"Butterfly"	Pieridae	Pieris melete	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris microstriata	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Pieris bryoniae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Pieris nesis	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Pieris oleracea	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Pieris rapae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris napi	Pieris virginiensis	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Lepidoptera	"Butterfly"	Pieridae	Pieris rapae	Pontia daplidice	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Lycaenidae	Plebejus idas	Plebejus melissa	Field	Yes	Gompert, Z; Lucas, LK; Fordyce, JA; Forister, ML; Nice, CC.	2010	Secondary contact between Lycaeides idas and L-melissa in the Rocky Mountains: extensive admixture and a patchy hybrid zone
Lepidoptera	"Butterfly"	Pieridae	Pontia daplidice	Pontia edusa	Field	Yes	Porter, AH; Wenger, R; Geiger, H; Scholl, A; Shapiro, AM.	1997	The Pontia daplidice-edusa hybrid zone in northwestern Italy
Lepidoptera	"Butterfly"	Pieridae	Pontia protodice	Pontia daplidice	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Lycaenidae	Pseudophilotes baton	Pseudophilotes vicrama	Field	No	Bartonova, AS; Konvicka, M; Maresova, J; Wiemers, M; Ignatev, N; Wahlberg, N; Schmitt, T; Fric, ZF.	2021	Wolbachia affects mitochondrial population structure in two systems of closely related Palaearctic blue butterflies
Lepidoptera	"Butterfly"	Hesperiidae	Pyrgus malvae	Pyrgus malvoides	Field	Yes	Hernandez-Roldan, JL; Bofill, R; Dapporto, L; Munguira, ML; Vila, R.	2014	Morphological and chemical analysis of male scent organs in the butterfly genus Pyrgus (Lepidoptera: Hesperiidae)
Lepidoptera	"Moth"	Saturniidae	Saturnia mendocino	Saturnia walterorum	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Saturniidae	Saturnia pavonia	Saturnia pyri	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Saturniidae	Saturnia pavonia	Saturnia spini	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Selenia bilunaria	Selenia tetralunaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Noctuidae	Spodoptera descoinsi	Spodoptera latifascia	Laboratory	Yes	Monti, L; Genermont, J; Malosse, C; LalanneCassou, B.	1997	A genetic analysis of some components of reproductive isolation between two closely related species, Spodoptera latifascia (Walker) and S-descoinsi (Lalanne- Cassou and Silvain) (Lepidoptera: Noctuidae)
Lepidoptera	"Moth"	Noctuidae	Spodoptera littoralis	Spodoptera litura	Laboratory	Yes	Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.	2014	Mate recognition and reproductive isolation in the sibling species Spodoptera littoralis and Spodoptera litura
Lepidoptera	"Butterfly"	Pieridae	Tatochila mercedis	Tatochila sterodice	Field	Yes	PORTER, AH; SHAPIRO, AM.	1990	LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE
Lepidoptera	"Butterfly"	Pieridae	Tatochila mercedis	Tatochila vanvolxemii	Field	Yes	PORTER, AH; SHAPIRO, AM.	1990	LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE
Lepidoptera	"Moth"	Notodontidae	Thaumetopoea pityocampa	Thaumetopoea wilkinsoni	Field	Yes	Ipekdal, K; Burban, C; Saune, L; Battisti, A; Kerdelhue, C.	2020	From refugia to contact: Pine processionary moth hybrid zone in a complex biogeographic setting
Lepidoptera	"Moth"	Geometridae	Thera obeliscata	Thera variata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Timandra comae	Timandra griseata	Field	Yes	Ounap, E; Viidalepp, J; Saarma, U.	2005	Phylogenetic evaluation of the taxonomic status of Timandra griseata and T-comae (Lepidoptera : Geometridae : Sterrhinae)
Lepidoptera	"Moth"	Crambidae	Udea alpinalis	Udea uliginosalis	Field	Yes	Mally, R; Huemer, P; Nuss, M.	2018	Deep intraspecific DNA barcode splits and hybridisation in the Udea alpinalis group (Insecta, Lepidoptera, Crambidae) - an integrative revision
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta cagnagella	Yponomeuta malinellus	Laboratory	Yes	Hora, KH; Roessingh, P; Menken, SBJ.	2005	Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta cagnagella	Yponomeuta padella	Laboratory	Yes	Hora, KH; Roessingh, P; Menken, SBJ.	2005	Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Lepidoptera	"Moth"	Yponomeutidae	Yponomeuta malinellus	Yponomeuta padella	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Lycaenidae	Zizina emelina	Zizina otis	Laboratory	Yes	Sakamoto, Y; Yago, M.	2017	Potential for interspecific hybridization between Zizina emelina and Zizina otis (Lepidoptera: Lycaenidae)
Lepidoptera	"Butterfly"	Lycaenidae	Zizina labradus	Zizina oxleyi	Field	Yes	Gillespie, M; Wratten, SD; Cruickshank, R; Wiseman, BH; Gibbs, GW.	2013	Incongruence between morphological and molecular markers in the butterfly genus Zizina (Lepidoptera: Lycaenidae) in New Zealand
Diptera	Nematocera	Culicidae	Aedes ashworthi	Aedes australis	Laboratory	Yes	Brust, RA; Mahon, RJ.	1997	Resurrection of Aedes (Halaedes) ashworthi Edwards 1921: Morphological characterisation and separation from its sibling Aedes (Halaedes) australis (Erichson) 1842 (Diptera: Culicidae)
Diptera	Nematocera	Culicidae	Aedes brelandi	Aedes zoosophus	Laboratory	Yes	TAYLOR, DB.	1990	GENETICS OF INTERSPECIFIC HYBRIDIZATION IN THE TRISERIATUS AND ZOOSOPHUS GROUPS OF AEDES (PROTOMACLEAYA) (DIPTERA, CULICIDAE)
